
∞≠ºˆ¿œºˆ
¡ˆ¡°/¡ˆø™∏Ì : √·√µ

∆Ú±’ ∞≠ºˆ¿œºˆ
ø¨µµ,1ø˘,2ø˘,3ø˘,4ø˘,5ø˘,6ø˘,7ø˘,8ø˘,9ø˘,10ø˘,11ø˘,12ø˘,ø¨«’∞Ë,º¯¿ß
∆Ú≥‚,6.2,5.9,7.3,8.3,9.1,9.9,15.6,14,8.3,6,8,7.5,106.1
√÷±Ÿ 10≥‚,5.9,5.4,6.7,8.6,8.8,9.8,14.8,13.4,8.2,6.0,8.1,7.2,102.9
√÷±Ÿ  5≥‚,5.8,4.6,8.4,7.4,9.0,10.6,12.6,15.4,9.2,5.8,5.8,5.6,100.2
2013,8.0,7.0,7.0,16.0,11.0,8.0,23.0,12.0,11.0,3.0,12.0,7.0,125.0,1
2014,3.0,4.0,6.0,6.0,9.0,11.0,12.0,13.0,6.0,5.0,5.0,10.0,90.0,9
2015,8.0,8.0,3.0,11.0,6.0,11.0,14.0,7.0,3.0,8.0,16.0,8.0,103.0,5
2016,2.0,7.0,2.0,8.0,10.0,8.0,18.0,9.0,11.0,8.0,10.0,10.0,103.0,4
2017,9.0,5.0,7.0,8.0,7.0,7.0,18.0,16.0,5.0,7.0,9.0,9.0,107.0,3
2018,5.0,2.0,8.0,9.0,11.0,5.0,9.0,12.0,8.0,6.0,4.0,5.0,84.0,10
2019,4.0,4.0,10.0,10.0,3.0,11.0,12.0,11.0,10.0,6.0,7.0,7.0,95.0,8
2020,4.0,9.0,6.0,6.0,11.0,9.0,15.0,20.0,12.0,1.0,4.0,3.0,100.0,7
2021,13.0,4.0,8.0,8.0,16.0,14.0,11.0,15.0,9.0,12.0,5.0,7.0,122.0,2
2022,3.0,4.0,10.0,4.0,4.0,14.0,16.0,19.0,7.0,4.0,9.0,6.0,100.0,6
2023,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11


∆Ú±’ ∞Ë¿˝∫∞ ∞≠ºˆ¿œºˆ
ø¨µµ,∫Ω(3~5ø˘),ø©∏ß(6~8ø˘),∞°¿ª(9~11ø˘),∞‹øÔ(12~¿Õ≥‚2ø˘)
∆Ú≥‚,24.7,39.5,22.3,19.5
√÷±Ÿ 10≥‚,24.1,38.0,22.3,17.0
√÷±Ÿ  5≥‚,24.8,38.6,20.8,14.6
2013,34.0,43.0,26.0,14.0
2014,21.0,36.0,16.0,26.0
2015,20.0,32.0,27.0,17.0
2016,20.0,35.0,29.0,24.0
2017,22.0,41.0,21.0,16.0
2018,28.0,26.0,18.0,13.0
2019,23.0,34.0,23.0,20.0
2020,23.0,44.0,17.0,20.0
2021,32.0,40.0,26.0,14.0
2022,18.0,49.0,20.0,16.0
2023,3.0,0.0,0.0,0.0


∞≠ºˆ¿œºˆ ∞¸√¯∞™
ø¨µµ,≥Ø¬•,¡ˆ¡°,∞¸√¯∞™
2013,0101,√·√µ,5.2
2013,0102,√·√µ,0.1
2013,0105,√·√µ,0.2
2013,0112,√·√µ,1.8
2013,0121,√·√µ,23
2013,0122,√·√µ,0.5
2013,0123,√·√µ,2
2013,0124,√·√µ,0.5
2013,0201,√·√µ,40.5
2013,0203,√·√µ,9.2
2013,0204,√·√µ,2.9
2013,0205,√·√µ,3.6
2013,0206,√·√µ,3.4
2013,0210,√·√µ,0.3
2013,0222,√·√µ,0.7
2013,0301,√·√µ,5
2013,0307,√·√µ,0.5
2013,0312,√·√µ,0.5
2013,0313,√·√µ,15.5
2013,0317,√·√µ,6
2013,0318,√·√µ,2.5
2013,0320,√·√µ,5.5
2013,0401,√·√µ,0.2
2013,0402,√·√µ,5
2013,0406,√·√µ,19.5
2013,0407,√·√µ,0.2
2013,0408,√·√µ,0.5
2013,0409,√·√µ,2.5
2013,0410,√·√µ,1.5
2013,0411,√·√µ,0.5
2013,0414,√·√µ,2.5
2013,0418,√·√µ,0.2
2013,0420,√·√µ,5.5
2013,0423,√·√µ,6
2013,0424,√·√µ,0.5
2013,0425,√·√µ,5
2013,0426,√·√µ,2.5
2013,0429,√·√µ,17
2013,0502,√·√µ,0.2
2013,0503,√·√µ,2.5
2013,0504,√·√µ,0.5
2013,0509,√·√µ,1
2013,0510,√·√µ,17.5
2013,0512,√·√µ,0.5
2013,0518,√·√µ,2.5
2013,0519,√·√µ,23
2013,0527,√·√µ,43
2013,0528,√·√µ,19
2013,0529,√·√µ,0.1
2013,0611,√·√µ,1
2013,0612,√·√µ,4.5
2013,0618,√·√µ,9.5
2013,0623,√·√µ,0.1
2013,0625,√·√µ,13
2013,0626,√·√µ,13
2013,0627,√·√µ,7
2013,0628,√·√µ,23
2013,0702,√·√µ,54.5
2013,0704,√·√µ,5.5
2013,0705,√·√µ,24.5
2013,0707,√·√µ,0.5
2013,0708,√·√µ,90
2013,0709,√·√µ,19.5
2013,0710,√·√µ,22
2013,0711,√·√µ,72.5
2013,0712,√·√µ,33.5
2013,0713,√·√µ,58
2013,0714,√·√µ,125
2013,0715,√·√µ,140
2013,0717,√·√µ,22.5
2013,0718,√·√µ,52
2013,0720,√·√µ,0.3
2013,0721,√·√µ,6.5
2013,0722,√·√µ,60
2013,0723,√·√µ,34
2013,0724,√·√µ,14
2013,0728,√·√µ,7
2013,0729,√·√µ,12
2013,0730,√·√µ,1
2013,0731,√·√µ,16.5
2013,0802,√·√µ,0.1
2013,0803,√·√µ,3.3
2013,0805,√·√µ,2.3
2013,0806,√·√µ,1.5
2013,0809,√·√µ,43.7
2013,0810,√·√µ,0.4
2013,0812,√·√µ,10.1
2013,0816,√·√µ,0.1
2013,0818,√·√µ,9
2013,0819,√·√µ,29.4
2013,0823,√·√µ,94.3
2013,0829,√·√µ,19.9
2013,0906,√·√µ,1.6
2013,0910,√·√µ,3
2013,0911,√·√µ,10.6
2013,0912,√·√µ,0.2
2013,0913,√·√µ,71.8
2013,0914,√·√µ,49.7
2013,0924,√·√µ,5.3
2013,0925,√·√µ,3.8
2013,0928,√·√µ,3.8
2013,0929,√·√µ,19.5
2013,0930,√·√µ,2.8
2013,1008,√·√µ,4.5
2013,1011,√·√µ,0.3
2013,1015,√·√µ,3.1
2013,1102,√·√µ,8.8
2013,1103,√·√µ,0.1
2013,1106,√·√µ,0.3
2013,1107,√·√µ,2.7
2013,1109,√·√µ,12.2
2013,1110,√·√µ,0.1
2013,1115,√·√µ,0.8
2013,1117,√·√µ,1.7
2013,1124,√·√µ,18.1
2013,1125,√·√µ,14.7
2013,1126,√·√µ,0.6
2013,1127,√·√µ,2.2
2013,1208,√·√µ,0.2
2013,1209,√·√µ,13.2
2013,1211,√·√µ,4.8
2013,1212,√·√µ,11.4
2013,1219,√·√µ,1.2
2013,1220,√·√µ,0.3
2013,1226,√·√µ,0.7
2014,0120,√·√µ,4.4
2014,0125,√·√µ,4.5
2014,0130,√·√µ,1.5
2014,0201,√·√µ,13.1
2014,0202,√·√µ,1.3
2014,0208,√·√µ,3.5
2014,0209,√·√µ,1.2
2014,0312,√·√µ,0.5
2014,0317,√·√µ,1.3
2014,0318,√·√µ,1.3
2014,0320,√·√µ,0.6
2014,0329,√·√µ,1.4
2014,0330,√·√µ,1.7
2014,0403,√·√µ,7.5
2014,0405,√·√µ,2.1
2014,0417,√·√µ,1.2
2014,0427,√·√µ,4.9
2014,0428,√·√µ,9
2014,0429,√·√µ,0.8
2014,0502,√·√µ,0.7
2014,0504,√·√µ,1
