읍면동(법정동),등록주체_시군구,등록주체_대행업체,등록주체_기타(이벤트등),종류(RFID종류_내장형),종류(RFID종류_외장형),종류(RFID종류_인식표),등록_품종수,동물소유자수,동물소유자당_동물등록수,합계,미승인,반려,데이터 기준일자
율동,5,63,0,43,20,5,27,52,1.31,68,0,0,2022-04-30
구미동,404,2555,3,1627,1147,188,89,2334,1.27,2962,1,1,2022-04-30
궁내동,28,156,0,108,61,15,38,136,1.35,184,0,1,2022-04-30
금곡동,287,1595,0,1054,718,110,68,1498,1.26,1882,0,0,2022-04-30
대장동,12,132,0,63,71,10,30,101,1.43,144,0,0,2022-04-30
동원동,5,63,0,37,26,5,24,53,1.28,68,0,0,2022-04-30
백현동,170,1259,2,894,420,117,63,1113,1.29,1431,0,0,2022-04-30
분당동,217,1556,0,1102,535,136,73,1369,1.3,1773,0,1,2022-04-30
삼평동,131,1020,0,656,416,79,60,959,1.2,1151,0,0,2022-04-30
서현동,425,2839,4,1929,1037,302,88,2675,1.22,3268,0,1,2022-04-30
석운동,5,40,0,28,15,2,20,30,1.5,45,0,0,2022-04-30
수내동,375,2392,1,1572,1000,196,75,2252,1.23,2768,0,0,2022-04-30
야탑동,440,3010,2,2090,1132,230,86,2678,1.29,3452,0,2,2022-04-30
운중동,137,1299,0,867,463,106,77,977,1.47,1436,0,1,2022-04-30
이매동,244,1942,1,1309,656,222,74,1814,1.21,2187,0,1,2022-04-30
정자동,475,5601,6,3761,1959,362,105,4801,1.27,6082,0,2,2022-04-30
판교동,121,1088,0,702,410,97,64,928,1.3,1209,0,0,2022-04-30
하산운동,0,3,0,2,1,0,3,3,1,3,0,0,2022-04-30
성남시 수정구,0,1,0,1,0,0,1,1,1,1,0,0,2022-04-30
고등동,21,280,0,180,93,28,44,214,1.41,301,0,0,2022-04-30
금토동,18,103,0,68,44,9,30,73,1.66,121,0,0,2022-04-30
단대동,79,841,0,602,231,87,51,706,1.3,920,0,0,2022-04-30
둔전동,2,16,0,7,3,8,11,13,1.38,18,0,0,2022-04-30
복정동,46,591,3,423,163,54,54,486,1.32,640,0,1,2022-04-30
사송동,5,66,0,46,21,4,26,56,1.27,71,0,0,2022-04-30
산성동,100,613,1,427,212,75,49,543,1.31,714,0,0,2022-04-30
상적동,6,74,0,43,23,14,27,50,1.6,80,0,0,2022-04-30
수진동,169,2220,1,1667,606,117,84,1628,1.47,2390,0,4,2022-04-30
시흥동,8,143,1,77,62,13,31,96,1.58,152,0,0,2022-04-30
신촌동,8,44,0,30,13,9,18,37,1.41,52,0,0,2022-04-30
신흥동,285,3006,2,2212,828,253,79,2505,1.31,3293,0,1,2022-04-30
심곡동,9,158,0,108,45,14,40,124,1.35,167,0,0,2022-04-30
양지동,64,544,1,379,197,33,49,491,1.24,609,0,1,2022-04-30
오야동,9,61,0,33,26,11,22,49,1.43,70,0,0,2022-04-30
창곡동,92,1860,14,1063,583,320,66,1483,1.33,1966,0,2,2022-04-30
태평동,419,3982,1,2781,1306,315,93,3264,1.35,4402,1,1,2022-04-30
중동,0,600,0,600,0,0,27,431,1.39,600,0,0,2022-04-30
갈현동,5,25,0,18,8,4,16,25,1.2,30,0,0,2022-04-30
금광동,233,2160,1,1594,634,166,63,1845,1.3,2394,0,0,2022-04-30
도촌동,84,879,0,577,322,64,48,801,1.2,963,0,0,2022-04-30
성남동,226,2121,0,1611,537,199,82,1782,1.32,2347,0,1,2022-04-30
여수동,45,487,2,210,287,37,53,430,1.24,534,0,0,2022-04-30
은행동,266,2299,1,1702,683,181,77,1922,1.33,2566,0,1,2022-04-30
중앙동,109,888,0,637,291,69,50,682,1.46,997,0,1,2022-04-30
상대원동,314,3550,0,2680,934,250,92,2902,1.33,3864,0,1,2022-04-30
하대원동,158,1254,0,970,313,129,62,1095,1.29,1412,0,0,2022-04-30
